attributeName	code	definition
group	HERBIVORE	
group	PREDATOR	
group	SCHOOL	
Observer	ASG	
Site	LL	
Site	PSI	
Site	PSM	
Site	PSO	
Site	RP	
Site	SIB	
Site	WT	
species	ACAALT	
species	ACABLO	
species	ACAGUT	
species	ACALIN	
species	ACANIG	
species	ACATRI	
species	CARANXMEL	
species	CARMEL	
species	CHFRO	
species	CHLFRO	
species	CHLSPI	
species	LUTBOH	
species	LUTFUL	
species	LUTGIB	
species	LUTIB	
species	LUTMON	
species	MULFLA	
species	MULVAN	
species	SCAALT	
species	SCAGLO	
species	SCAPSI	
species	SCASPI	
species	STENIG	
